Date,Time,Muc_nuoc,Luu_luong
1/1/2008,1:00:00,130,612
1/1/2008,7:00:00,112,527
1/1/2008,13:00:00,115,542
1/1/2008,19:00:00,122,574
1/2/2008,1:00:00,118,556
1/2/2008,7:00:00,116,546
1/2/2008,13:00:00,116,546
1/2/2008,19:00:00,116,546
1/3/2008,1:00:00,118,556
1/3/2008,7:00:00,135,636
1/3/2008,13:00:00,150,708
1/3/2008,19:00:00,154,728
1/4/2008,1:00:00,146,688
1/4/2008,7:00:00,166,787
1/4/2008,13:00:00,178,848
1/4/2008,19:00:00,172,817
1/5/2008,1:00:00,164,777
1/5/2008,7:00:00,170,807
1/5/2008,13:00:00,190,909
1/5/2008,19:00:00,190,909
1/6/2008,1:00:00,180,858
1/6/2008,7:00:00,186,889
1/6/2008,13:00:00,216,1050
1/6/2008,19:00:00,212,1030
1/7/2008,1:00:00,200,962
1/7/2008,7:00:00,186,889
1/7/2008,13:00:00,193,925
1/7/2008,19:00:00,182,868
1/8/2008,1:00:00,160,757
1/8/2008,7:00:00,156,737
1/8/2008,13:00:00,194,930
1/8/2008,19:00:00,202,973
1/9/2008,1:00:00,190,909
1/9/2008,7:00:00,186,889
1/9/2008,13:00:00,210,1020
1/9/2008,19:00:00,214,1040
1/10/2008,1:00:00,206,994
1/10/2008,7:00:00,196,941
1/10/2008,13:00:00,221,1080
1/10/2008,19:00:00,223,1090
1/11/2008,1:00:00,206,994
1/11/2008,7:00:00,192,920
1/11/2008,13:00:00,200,962
1/11/2008,19:00:00,212,1030
1/12/2008,1:00:00,190,909
1/12/2008,7:00:00,174,827
1/12/2008,13:00:00,194,930
1/12/2008,19:00:00,204,984
1/13/2008,1:00:00,192,920
1/13/2008,7:00:00,178,848
1/13/2008,13:00:00,185,884
1/13/2008,19:00:00,203,978
1/14/2008,1:00:00,186,889
1/14/2008,7:00:00,164,777
1/14/2008,13:00:00,156,737
1/14/2008,19:00:00,164,777
1/15/2008,1:00:00,154,728
1/15/2008,7:00:00,136,640
1/15/2008,13:00:00,154,728
1/15/2008,19:00:00,166,787
1/16/2008,1:00:00,158,747
1/16/2008,3:00:00,156,737
1/16/2008,5:00:00,154,728
1/16/2008,7:00:00,154,728
1/16/2008,9:00:00,152,718
1/16/2008,11:00:00,156,737
1/16/2008,13:00:00,162,767
1/16/2008,15:00:00,164,777
1/16/2008,17:00:00,166,787
1/16/2008,19:00:00,167,792
1/16/2008,21:00:00,166,787
1/16/2008,23:00:00,166,787
1/17/2008,1:00:00,166,787
1/17/2008,3:00:00,166,787
1/17/2008,5:00:00,166,787
1/17/2008,7:00:00,166,787
1/17/2008,9:00:00,166,787
1/17/2008,11:00:00,166,787
1/17/2008,13:00:00,166,787
1/17/2008,15:00:00,168,797
1/17/2008,17:00:00,170,807
1/17/2008,19:00:00,170,807
1/17/2008,21:00:00,164,777
1/17/2008,23:00:00,160,757
1/18/2008,1:00:00,160,757
1/18/2008,3:00:00,162,767
1/18/2008,5:00:00,172,817
1/18/2008,7:00:00,180,858
1/18/2008,9:00:00,186,889
1/18/2008,11:00:00,189,904
1/18/2008,13:00:00,193,925
1/18/2008,15:00:00,196,941
1/18/2008,17:00:00,198,951
1/18/2008,19:00:00,199,957
1/18/2008,21:00:00,201,967
1/18/2008,23:00:00,204,984
1/19/2008,1:00:00,209,1010
1/19/2008,3:00:00,215,1040
1/19/2008,5:00:00,221,1080
1/19/2008,7:00:00,229,1120
1/19/2008,9:00:00,238,1180
